Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Specificity,Balanced_Accuracy
Extreme_Random_Forest,0.957418552739397,0.9375648658982902,0.9792332268370607,0.9579461420399051,0.9881116469836232,0.9360129877400213,0.957623107288541
Neural_Network,0.9400412534260123,0.9131180950337874,0.9713601095390233,0.9413390833195112,0.9653309784678166,0.9093097464031797,0.9403349279711015
CatBoost,0.9200361673871889,0.9316339715728885,0.9049520766773163,0.918099207038259,0.9770356393390508,0.9348373733415439,0.91989472500943
XGBoost,0.9174083806617501,0.9186493149114258,0.9141944317663168,0.9164164593520345,0.9775479361619229,0.9205620556457482,0.9173782437060325
